"text","summary"
"Apri il browser per favore.","apri"
"Puoi aprire la cartella dei documenti?","apri"
"Vorrei che aprissi il calendario.","apri"
"Fai partire il programma, per favore.","apri"
"Accedi all'app delle note.","apri"
"Leggi il messaggio ricevuto ieri.","leggi"
"Puoi controllare l'email per me?","leggi"
"Visualizza il documento più recente.","leggi"
"Mostrami il contenuto del file.","leggi"
"Fammi sapere cosa c'è scritto in quel messaggio.","leggi"
"Pulisci la cronologia del browser.","pulisci"
"Cancella tutti i file temporanei.","pulisci"
"Svuota il cestino, per favore.","pulisci"
"Elimina le notifiche inutili.","pulisci"
"Rimuovi i dati obsoleti dal sistema.","pulisci"
"Chiudi tutte le applicazioni aperte.","chiudi"
"Termina la sessione attuale.","chiudi"
"Esci dall'account, per favore.","chiudi"
"Fermati qui e chiudi tutto.","chiudi"
"Blocca lo schermo, per favore.","chiudi"
"Cerca l'ultima email di Marco.","cerca"
"Trova il file chiamato 'Report 2024'.","cerca"
"Puoi cercare informazioni sul meteo?","cerca"
"Individua la mia playlist preferita.","cerca"
"Effettua una ricerca di immagini online.","cerca"
"Mostrami il codice sorgente del progetto.","codice"
"Genera un nuovo codice di accesso.","codice"
"Controlla l'integrità del codice scritto.","codice"
"Esegui il programma scritto in Kotlin.","codice"
"Analizza il codice per eventuali errori.","codice"
"Spegni il computer dopo 10 minuti.","spegni"
"Puoi disattivare il Bluetooth, per favore?","spegni"
"Termina l'alimentazione del dispositivo.","spegni"
"Metti il sistema in modalità di riposo.","spegni"
"Arresta completamente il sistema operativo.","spegni"
"Disattiva la connessione Wi-Fi.","spegni"
"Chiudi l'app in esecuzione.","chiudi"
"Svuota il contenuto della memoria temporanea.","pulisci"
"Mostrami il contenuto del PDF.","leggi"
"Scrivi un codice per calcolare la somma.","codice"
"Puoi leggere la notifica?","leggi"
"Disattiva la connessione Wi-Fi.","spegni"
"Pulisci i dati della cache.","pulisci"
"Spegni le luci smart in soggiorno.","spegni"
"Disattiva la connessione Wi-Fi.","spegni"
"Pulisci i dati della cache.","pulisci"
"Puoi leggere la notifica?","leggi"
"Disattiva la connessione Wi-Fi.","spegni"
"Spegni le luci smart in soggiorno.","spegni"
"Spegni le luci smart in soggiorno.","spegni"
"Genera una nuova chiave di accesso.","codice"
"Cerca il termine 'intelligenza artificiale'.","cerca"
"Apri la finestra di configurazione.","apri"
"Svuota il contenuto della memoria temporanea.","pulisci"
"Apri un nuovo documento.","apri"
"Svuota il contenuto della memoria temporanea.","pulisci"
"Pulisci i dati della cache.","pulisci"
"Avvia l'applicazione.","apri"
"Spegni le luci smart in soggiorno.","spegni"
"Scrivi un codice per calcolare la somma.","codice"
"Leggi il promemoria di oggi.","leggi"
"Avvia l'applicazione.","apri"
"Chiudi l'app in esecuzione.","chiudi"
"Svuota il contenuto della memoria temporanea.","pulisci"
"Leggi il promemoria di oggi.","leggi"
"Mostrami il contenuto del PDF.","leggi"
"Avvia l'applicazione.","apri"
"Chiudi l'app in esecuzione.","chiudi"
"Genera una nuova chiave di accesso.","codice"
"Cerca il termine 'intelligenza artificiale'.","cerca"
"Cerca il termine 'intelligenza artificiale'.","cerca"
"Svuota il contenuto della memoria temporanea.","pulisci"
"Mostrami il contenuto del PDF.","leggi"
"Apri la finestra di configurazione.","apri"
"Apri un nuovo documento.","apri"
